document,case
"<p>'Bellevue is one of the ''better'' neighbourhood in Seattle, housing high-payed white-collar elite, living in walled, gated and guarded communities.'</p>",177
"<p>Bellevue, Washington is a city recognized for its great talent, vibrant city center, and growing entrepreneurial businesses. The Chamber is your connection to all that Bellevue offers to a thriving business community.</p>",178
"<p>Our Bellevue Clinic and Surgery Center serves families in east King County. The center offers services in more than 30 pediatric specialties and urgent care – provided by the same doctors and nurses who care for children and teens at our hospital in Seattle.</p>",179
"<p>A computer worm is a standalone malware computer program that replicates itself in order to spread to other computers. Often, it uses a computer network to spread itself, relying on security failures on the target computer to access it.</p>",180
"<p>Worm by John McCrae, a.k.a. wildbow, is a Web Serial Novel centered around Taylor Hebert, a teenager with a superpower enabling her to control bugs. The story follows Taylor as she quickly gets swept up in the chaos and complexities of the 'cape' community of Brockton Bay by joining with a group of villains known as the Undersiders.</p>",181
"<p>Taylor Hebert had a bad day, and came out of it changed. Some parahumans can control bugs. Some can build advanced technology. Some can do unspeakable things to space and time.</p>",182
"<p>The United States Border Patrol (USBP) is an American federal law enforcement agency.</p><p>Mexican border operations were directed from El Paso, Texas and Canadian border operations were directed from Detroit, Michigan. The Canadian border operations from Detroit employed more men than the El Paso operations along the Mexican border because of a focus on the prevention of liquor smuggling during prohibition.</p>",183
"<p>Securing the international boundaries is the job of the U.S. Customs and Border Protection, or CBP. Its law enforcement officers are known as Border Patrol Agents, who detect and apprehend illegal aliens, terrorists and smugglers.</p>",184
"<p>Border patrol agents saved an illegal immigrant on Wednesday near the southern Texas border after they found her suffering from heat stroke when temperatures hit over 100 degrees.</p>",185
"<p>Although many first mention its cramped and lively Chinatown when talking about Flushing, this diverse Queens neighborhood is comprised of more than delicious hole-in-the-wall restaurants and busy food stalls.</p>",186
"<p>Skin flushing or blushing describe feelings of warmth and rapid reddening of your neck, upper chest, or face. Blotchiness or solid patches of redness are often visible when blushing.</p>",187
"<p>The Chinese-immigrant population of Flushing, Queens, surpassed that of Manhattan's Chinatown years ago. Roughly two-thirds of the residents in this bustling Queens neighborhood are foreign born—the vast majority of them coming from Asia.</p>",188
"<p>Tineola bisselliella, known as the common clothes moth, webbing clothes moth, or simply clothing moth, is a species of fungus moth (family Tineidae, subfamily Tineinae).</p>",189
"<p>Moths vary greatly in size, ranging in wingspan from about 4 mm (0.16 inch) to nearly 30 cm (about 1 foot). Highly adapted, they live in all but polar habitats.</p>",190
"<p>Pacific Northwest Moths is a comprehensive source of information about more than 1,200 species of moths. Drawing from the knowledge of moth experts and specimen records from the region’s major insect collections, this site features detailed species accounts, high resolution photographs, and an interactive identification key for every Pacific Northwest moth species within the families Drepanidae, Uraniidae, Lasiocampidae, Saturniidae, Sphingidae, Notodontidae, Erebidae, Euteliidae, Nolidae, and Noctuidae.</p>",191
"<p>Korean, known in the language itself as Kugo, is the language of the Korean Peninsula in northeast Asia. In the Democratic People's Republic of Korea (DPRK, or North Korea) there are 20 million speakers and in the Republic of Korea (ROK, or South Korea) there are 42 million speakers.</p>",192
"<p>Want to practice your Korean? Meetup with others in your area who are also interested in the Korean language.</p>",193
"<p>Are you interested in learning Korean, but just don't have the time? Let's face it, not everyone can commit full-time to learning a language.</p>",194
"<p>Rather than paying for expensive software, you can electronically file your taxes for free using one of many free options, even for taxpayers with higher incomes.</p>",195
"<p>Do you want to learn how to file your income tax return in the simplest, smartest and fastest way? If yes, then this article is for you! The best way is to do it online.</p>",196
"<p>Electronic Filing Options. File your Virginia return for free Made $64,000 or less in 2016? Use Free File You qualify to file both your federal and state return through free, easy to use tax preparation software.</p>",197
"<p>Since VLDL-C is usually calculated from the triglyceride level, preparation is the same as for the triglyceride test. Current recommendations for this testing include fasting (having nothing to eat or drink except water) for 9 to 12 hours beforehand and avoiding alcohol consumption for at least 24 hours before the test.</p>",198
"<p>Pay attention to your total cholesterol levels, as well as your levels of high-density lipoprotein, low-density lipoprotein and very-low-density lipoprotein, or, respectively, HDL, LDL and VLDL.</p><p>Pay attention to your total cholesterol levels, as well as your levels of high-density lipoprotein, low-density lipoprotein and very-low-density lipoprotein, or, respectively, HDL, LDL and VLDL.</p>",199
"<p>High levels of triglycerides are associated with elevated levels of VLDL, IDL and/or chylomicrons. These three lipoproteins carry the greatest concentration of triglycerides.</p>",200
"<p>PVC is single most environmentally damaging type of plastic. Thanks to everyday consumers demanding change, it’s finally becoming less common.</p>",201
"<p>Plastic PVC is most commonly used by plumbers and very clever DIY enthusiasts. This material and pipe were designed to transport water, as it cannot wear out over time like rusting metal can.</p>",202
"<p>For common applications in the liquid containment arena — ones that just need a dependable blue-collar material — PVC is the way to go. PVC sheet from Quadrant is a good, economical alternative to higher priced materials.</p>",203
"<p>SEW-lutions Guidelines are educational articles in pdf format. They cover all aspects of sewing, from beginner and learn to sew instructions to advanced sewing techniques.</p>",204
"<p>Even though a sewing pattern might be labeled “easy” or “quick,” the pattern instruction writers sometimes assume that you have a certain amount of general sewing knowledge.</p>",205
"<p>Sewing Instructions, Lessons and Definitions. It may be your first time sewing, or you may be returning to sewing after many years. Either way this page will guide you to the many resources available to learn to sew and sewing techniques.</p>",206
"<p>They begin a famous speech by Prince Hamlet in which he considers suicide as an escape from his troubles: “To be, or not to be: that is the question.”</p>",207
"<p>In other circumstances we might think that Hamlet's question pertains to another character, or that the question is philosphical in nature, but that's not what we have here.</p>",208
"<p>It's not as poetic as Shakespeare's eternal question, but the choice of whether to capitalize the verb 'to be' in titles continues to be pondered through the years.</p>",209
"<p>(Quick background: I grew up in India, went to US at 21 to study. Spent 8 years there (including 3 years working). Moved back to Pune, Maharashtra, India, India in 2001, and have been here ever since.)</p>",210
"<p>Americans in India comprise expatriates and immigrants from the United States living in India, along with Indian citizens of American descent. They have a history stretching back to the late 18th century.</p>",211
"<p>Standard of living in India varies from state to state. With one of the fastest growing economies in the world, clocked at a growth rate of 7.6% in 2015, India is on its way to becoming a large and globally important consumer economy.</p>",212
"<p>The Sun, our source of light and warmth, is a notoriously poor photographic target, due to its extreme brightness and constant emissions of damaging ultraviolet and infrared radiation.</p>",213
"<p>Our Sun is not unique in the universe. It is a common middle-sized yellow star which scientists have named Sol, after the ancient Roman name. This is why our system of planets is called the Solar System.</p>",214
"<p>'What are the ''parts'' of the Sun? Scientists who study the Sun usually divide it up into three main regions: the Sun's interior, the solar atmosphere, and the visible ''surface'' of the Sun which lies between the interior and the atmosphere.'</p>",215
"<p>Neil Percival Young (born November 12, 1945) is a Canadian singer-songwriter, guitarist, and social activist who is widely regarded as one of the most influential musicians of his generation, particularly as Neil Young & Crazy Horse.</p>",216
"<p>Neil Percival Young is a Canadian singer-songwriter. He began performing in a group covering Shadows (Cliff Richards' backing band) instrumentals in Canada in 1960, before moving to California in 1966, where he co-founded the band Buffalo Springfield along with Stephen Stills and Richie Furay, later joining Crosby, Stills & Nash as a fourth member in 1969.</p>",217
"<p>Celebrating the Fourth of July just got a little better, thanks to Canadian singer-songwriter Neil Young and his new Independence Day anthem, “Children of Destiny.”</p>",218
"<p>Kiwi - 1 - A small, brown, flightless, nocturnal, endangered bird native to New Zealand / Aotearoa. The name of the bird comes from the high-pitched 'call' it makes.</p>",219
"<p>A slang term for the New Zealand dollar (NZD). It derives its name from New Zealand's national icon - a flightless bird called a kiwi - which is pictured on one side of the country's $1 coin.</p>",220
"<p>Kiwis are tiny little avian kiwifruits with the characteristics of the kiwi bird native to New Zealand.</p>",221
"<p>Tornadoes, it turns out, are about as American as apple pie. The United States is home to the majority of all the tornadoes that touch down around the world every year.</p>",222
"<p>Although tornadoes can happen at any time of year, they are especially common during the spring and early summer. May and June are the peak months in terms of numbers of tornadoes, but April appears to be the deadliest month.</p>",223
"<p>A tornado slides across Oklahoma. Image courtesy NSSL/NOAA. Continued vigilance and quick response to tornado watches and warnings are critical, since tornadoes can strike virtually anywhere at any time.</p>",224
"<p>I built these raised garden beds for two reasons, the first was to avoid the back pain that my father feels when bent over a traditional raised bed for weeding, the second was to keep the dog out of the garden.</p>",225
"<p>Have you always wanted your very own raised garden bed, but thought it would require too much manual labor? Lucky for you, we've searched for the easiest garden beds to assemble (if you even have to assemble).</p>",226
"<p>Growing plants in your yard is not easy. But if you can make the task easy, why shouldn’t you resort to clever tricks? The DIY Raised Garden Bed (MyDailyRandomness Blog) is one such trick that will definitely help.</p>",227
"<p>Often confused with lynx due to their size and ear tufts, bobcats tend to live in more temperate habitats than lynx, though they are both native to North America.</p>",228
"<p>The bobcat is brown with black spots. Its fur may be grayer in winter. It has large ears with slight tufts of hair at the tips. It has a striped ruff of fur on its cheeks and a short tail with a black tip.</p>",229
"<p>The Bobcat is listed as Least Concern because it is abundant and wide-ranging and is not suspected to be declining at a rate that would qualify it for Near Threatened.</p>",230
"<p>Weight-loss surgery is an operation on the stomach and/or intestines to help people lose weight by limiting food intake and/or by affecting how food is digested. A very low-calorie diet is a very restrictive diet that uses a commercially prepared formula providing about 800 calories per day.</p>",231
"<p>'Dieting is the worst way to lose weight. Most people would say I'm crazy for making such an outrageous claim. However, by the time you finish reading this short article, I think you'll agree with me: Not only that, my hope is that you'll agree so much that you'll join me on my mission against ''dieting'' -- at least the way the multi-billion dollar weight loss industry has been pushing it on everyone for years.'</p>",232
"<p>I am dieting and counting calories. I heard that you shouldn't eat fewer than 1,200 calories a day, and I am wondering why? Can you please explain, because I thought I should eat as little as possible.</p>",233
"<p>The twin Voyager 1 and 2 spacecraft are exploring where nothing from Earth has flown before. Continuing on their more-than-39-year journey since their 1977 launches, they each are much farther away from Earth and the sun than Pluto.</p>",234
"<p>The identical Voyager spacecraft are three-axis stabilized systems that use celestial or gyro referenced attitude control to maintain pointing of the high-gain antennas toward Earth.</p>",235
"<p>The USS Voyager (NCC-74656) was a 24th century Federation Intrepid-class starship operated by Starfleet. The vessel was famous for completing a non-scheduled seven-year journey across the Delta Quadrant between 2371 and 2378, which was the first successful exploration of that quadrant by the Federation.</p>",236
"<p>Logitech G Pro Mechanical Gaming keyboard review. Logitech built a new compact mechanical keyboard for pro eSports athletes with loads of speed and customization features.</p>",237
"<p>Designed for beginners and intermediate musicians, the versatile Casio CTK-4400 61-Key Portable Keyboard is an excellent and affordable choice for practice and development.</p>",238
"<p>The MX Silent switches in this Cherry-branded, retro-styled keyboard are much quieter than others we've tried, but its oversize plastic frame and meager feature set make the asking price much too high.</p>",239
"<p>Afghanistan has been the centre of many powerful empires for the past 2,000 years. However, in the last 30 years the country has been in chaos due to major wars -- from the Soviet invasion of 1979 to their withdrawal in 1989 and from warlordism to the removal of the Taliban in 2001 and the ensuing American and NATO invasion.</p>",240
"<p>July 5, 2017 • A bipartisan delegation of senators are in Afghanistan, calling for a new strategy from the Trump administration to address Taliban insurgency and define the U.S. role in the country.</p>",241
"<p>USAID is helping Afghanistan become a more responsible and integrated member of the region and the world. Great strides have been made in health and education, bringing more Afghans back into economic and civic life.</p>",242
"<p>A synovial joint, also known as diarthrosis, joins bones with a fibrous joint capsule that is continuous with the periosteum of the joined bones, constitutes the outer boundary of a synovial cavity, and surrounds the bones' articulating surfaces. The synovial cavity/joint is filled with synovial fluid.</p>",243
"<p>Nature has solved this problem by dividing the skeleton into many bones and creating joints where the bones intersect. Joints, also known as articulations, are strong connections that join the bones, teeth, and cartilage of the body to one another.</p>",244
"<p>My stupid pot head friend was driving off from this joint and he had that new joint by fiddy cent playing on the radio when the cops got behind. He gat pulled over at that joint where they sell cheesburgers and got searched.</p>",245
"<p>'In computing, memory refers to the computer hardware devices involved to store information for immediate use in a computer; it is synonymous with the term ''primary storage''.'</p>",246
"<p>The complexity of memory. The mind is a diligent recorder, taking note of all that happens and storing data on it for retrieval later, right? Well actually, no.</p>",247
"<p>Memories are made up of what you sense. Typically, when memory fails, it’s not because you forgot how to remember—it’s because your brain isn’t processing information very clearly.</p>",248
"<p>Most of the Earth's seismic activity (volcanoes and earthquakes) occurs at the plate boundaries as they interact. The top layer of the Earth's surface is called the crust (it lies on top of the plates). Oceanic crust (the thin crust under the oceans) is thinner and denser than continental crust.</p>",249
"<p>There are a few handfuls of major plates and dozens of smaller, or minor, plates. Six of the majors are named for the continents embedded within them, such as the North American, African, and Antarctic plates.</p>",250
"<p>In areas of collision between oceanic and continental lithospheric plates such as the circum-Pacific region, the denser oceanic plate is subducted (carried into Earth’s mantle) beneath the more buoyant continental lithosphere.</p>",251
"<p>From critically acclaimed storytelling and photography, to rich-media videos, full 360-degree experiences and virtual reality, we're able to not only tell the news, but allow you to be completely immersed in it.</p>",252
"<p>This year’s Milwaukee Journal Sentinel a la Carte presented by Meijer, August 17 through August 20, features 26 area restaurants offering a variety of flavors that will leave you craving more, in addition to top national and local bands performing throughout the Zoo grounds!</p>",253
"<p>Notes: The Milwaukee Journal Sentinel is a daily morning broadsheet printed in Milwaukee, Wisconsin. It is the primary newspaper in Milwaukee, the largest newspaper in Wisconsin and is distributed widely throughout the state.</p>",254
"<p>How far away is the closest bart station from the Andrews Hotel. The Andrews is located at 624 Post St. We will be staying at the Andrews and would like to take the bart from sfo.</p>",255
"<p>Bay Area Rapid Transit (BART) is a transit system that serves the San Francisco Bay Area, connecting San Francisco International Airport and San Francisco with the East Bay communities between Richmond, Fremont, Dublin/Pleasanton and Pittsburg/Bay Point.</p>",256
"<p>Daisy Barringer is Thrillist's SF Editor. Her Oakland friends wish she'd take BART more and now that this map exists, she just might do that.</p>",257
"<p>No one person invented music. Many people think music was not invented at all, but discovered! In history, music has been around as long as the first humans existed on earth.</p>",258
"<p>In his own way Don Gillis brought the classical repertoire to millions of Americans. He was the producer for the NBC Symphony Orchestra during the long tenure of Arturo Toscanini, helping to broadcast hundreds of symphonic and operatic performances on radio and television (today you can buy an enormous, 85-disc box set of the complete recordings of Toscanini on RCA/Victor Records which including many with the NBC Symphony Orchestra).</p>",259
"<p>“It was medieval musicians who invented polyphony, the simultaneous sounding of two or more musical lines, hence harmonies. Just when this occurred is uncertain, but it was already well known when described in a manual published around 900.</p>",260
"<p>The area of the limb between the elbow and wrist is known as the forearm. Sometimes pain occurs in the region without affecting the upper arm or hand.</p>",261
"<p>Hi, one of the main barriers to my surfing is not my cardio fitness - i never get out of breath - but pain in my forearm when trying to paddle out, or paddle for a wave; in fact, any sort of paddling.</p>",262
"<p>I've had that in my upper arms. I feel fine when I go to bed but am awakened in the middle of the night with this aching pain that doesn't seem to relent.</p>",263
"<p>Obsessive-compulsive disorder (OCD) features a pattern of unreasonable thoughts and fears (obsessions) that lead you to do repetitive behaviors (compulsions).</p>",264
"<p>Obsessive-Compulsive Disorder Symptoms, Causes and Effects. Obsessive-compulsive disorder, or OCD, is an anxiety disorder that generally causes extreme discomfort.</p>",265
"<p>People with obsessive-compulsive disorder (OCD) suffer intensely from recurrent unwanted thoughts (obsessions) or rituals (compulsions), which they feel they cannot control.</p>",266
"<p>We have a 1974 MGB GT that we just purchased from the original owner. It was always garaged and is in exceptional condition. The engine is rebuilt with performance modifications including special electronic ignition, higher compression, and a balanced rotating assembly.</p>",267
"<p>MGB: The Sports Car America Loved First. Morris Garage, or MG, first advertised its sports cars to American audiences in 1947 by introducing the TC model.</p>",268
"<p>The MGB is a two-door sports car manufactured and marketed by MG Cars and its successors as a four-cylinder, soft-top roadster — along with variants including the MGB GT three-door 2+2 coupé, the six-cylinder roadster and coupé MGC, and the eight-cylinder 2+2 coupé, the MGB GT V8.</p>",269
"<p>Created by author Michael Crichton and set in a Chicago ER, the series chronicles the lives of its harried staff in staccato, realistic scenes of lives saved and lost.</p>",270
"<p>'''ER'' is arguably the best major health care-related television series since ''M*A*S*H,'' and it is one of the most medically realistic dramatic series ever.'</p>",271
"<p>Continuity mistake: Near the start of the show, Carol is on the phone in the ER - we can see her name tag pinned over the right side of her stethoscope. In the next shot, as she turns to talk to Mark, the tag is pinned over the left side of the stethoscope.</p>",272
"<p>The Wall is a deadly psychological thriller that follows two soldiers pinned down by an Iraqi sniper, with nothing but a crumbling wall between them.</p>",273
"<p>By any measure, the collapse of the Senate health-care bill represents an epic failure for the Republican Party and a major embarrassment for President Trump.</p>",274
"<p>The Wall is a colossal fortification which stretches for 100 leagues (300 miles) along the northern border of the Seven Kingdoms, defending the realm from the wildlings who live beyond.</p>",275
"<p>Raffle is a type of lottery played as part of gambling in which several persons pay money for paper tickets that provide an opportunity to win the prizes.</p>",276
"<p>Hello everyone! I have decided to do an art raffle. Meaning that to anyone who's favourited this journal and watching me will be randomly chosen using random.org- I will be choosing three winners and they can have a full-shaded drawing of any character they choose.</p>",277
"<p>It's raffle time again and that means winning some really good items, having a good time at the cookout and helping Pet Placement Center keep our dogs and cats healthy and safe.</p>",278
"<p>This view shows a close up of toward the south polar region of Saturn's largest moon, Titan, and show a depression within the moon's orange and blue haze layers near the south pole.</p>",279
"<p>Since its introduction in 2005, the FEI Titan transmission electron microscope's (TEM) superior product design and proven ability to deliver ground- breaking results have made it the preferred scanning/transmission electron microscope (S/TEM) of leading researchers around the world.</p>",280
"<p>Titan is a distributed graph database optimized for storing and querying graphs represented over a cluster of machines. The cluster can elastically scale to support a growing dataset and user base.</p>",281
"<p>How to Earn Money at Home (Kids and Teens). So you're too young to start selling stock, but you're old enough that you need some income. What do you do?</p>",282
"<p>If you are like many others this time of year – you might be looking for ways to make extra money from home! There were many times when we were getting out of debt that I (Lauren) did a lot of crazy things for extra cash.</p>",283
"<p>With that in mind, here are 11 ways that you can actually earn money while you sleep.</p><p>Thanks to Airbnb, you can rent out your home while on vacation or your vacation home when not in use.</p>",284
"<p>The health benefits of rice include its ability to provide fast and instant energy, regulate and improve bowel movements, stabilize blood sugar levels, and slow down the aging process, while also providing an essential source of vitamin B1 to the human body.</p>",285
"<p>Knowing how to cook a good pot of brown rice is an essential kitchen skill. I'm talking about tender, chewy brown rice that goes equally well with a quick stir-fry as it does with slices of roasted chicken.</p>",286
"<p>When I was a kid, brown rice felt like punishment. Like the ever-increasing amount of whole wheat flour that would appear in my mom’s pancakes and waffles, brown rice with dinner felt like we had done something really wrong.</p>",287
"<p>Thank you for visiting our official website, we hope you will find the information useful, whether you are planning to visit South Africa or are interested in remaining current with the activities of the South African Embassy in Washington DC.</p>",288
"<p>Learn actions you can take to stay healthy and safe on your trip. Vaccines cannot protect you from many diseases in South Africa, so your behaviors are important.</p>",289
"<p>There are more than 120 Volunteers in South Africa working with their communities on projects in education and health. During their service in South Africa, Volunteers learn to speak local languages, including IsiZulu, Sepedi, SiSwati, TshiVenda, and XiTsonga.</p>",290
"<p>Your SAT score is a pivotal component of your college applications. Most colleges use these scores to help decide whether to admit students or not.</p>",291
"<p>More students in the U.S. are coming home with A’s on their report cards, while overall SAT scores are dropping, according to a Harvard study.</p>",292
"<p>Set aside your books and download SAT Up, the world's most widely-used mobile application for SAT prep, featuring personalized daily workouts, midterm and full length practice tests, vocabulary games, on-demand tutoring and continuous coach support.</p>",293
"<p>A satellite is any object that is orbiting the earth, sun or other massive body. Satellites can be categorized as natural satellites or man-made satellites. The moon, the planets and comets are examples of natural satellites.</p>",294
"<p>Satellites are any objects that revolve around (orbit) another object in space. Some satellites are natural, while others are artificial (man-made). The moon is an example of a natural satellite that orbits the Earth.</p>",295
"<p>As Japan's only manufacturer with integrated capabilities covering the entire satellite development process from development and design to assembly and testing, Mitsubishi Electric has played a key role in dozens of satellite programs for a variety of government agencies and communications providers both inside and outside Japan.</p>",296
"<p>Rincon…you probably heard the name on the Beach Boys tune “Surfing Safari”. Rincon is a surfing beach town located in the west coast region of Puerto Rico, location of the fourth World Surfing Championship in 1968.</p>",297
"<p>Nestled on the Bay of Añasco on Puerto Rico’s west coast, Rincon Beach Resort is the perfect escapade for relaxing days under the sun or enjoying an unforgettable dining experience.</p>",298
"<p>Since hosting the world surfing championship in 1968, Rincon, Puerto Rico, has solidified its spot as the Caribbean's hottest place to hang ten.</p>",299
"<p>The Ritz-Carlton Lake Las Vegas will close May 2, its owners announced, blaming the economy rather than their own inability to carve out an identity for their hotel in a saturated market.</p>",300
"<p>The view from the lobby of the Ritz-Carlton Lake Las Vegas, approximately one hour before the hotel would close its doors Sunday afternoon.</p>",301
"<p>'The Ritz-Carlton Lake Las Vegas in Henderson will close its doors May 2. ''Our owners, Village Hospitality, decided they could no longer fund the hotel,'' Ritz-Carlton spokeswoman Vivian Deuschl told the Sun.'</p>",302
"<p>In 2017, Harland's Creek Farm is joining with Fickle Creek Farm, Roberson Creek Farm, and Chapel Hill Creamery to bring you a CSA packed with organic and locally grown produce, eggs from free range hens, and cheese, meat and poultry that are humanely grown.</p>",303
"<p>Situated on a quiet, rural 61-acre working farm, Fickle Creek Farm Bed and Breakfast provides an ideal retreat into the countryside that's just a short drive west of North Carolina's research triangle.</p>",304
"<p>Fickle Creek Farm is a diversified, small­scale farm in the Piedmont of North Carolina. Approximately half of the farm’s 215 acres is used to provide farm­fresh, healthy food to our community through careful environmental stewardship, sustainable practices, and humane animal treatment.</p>",305
"<p>In 1913, Madam C.J. Walker was the first American woman to become a self-made millionaire.</p><p>In 1913, Walker and Charles divorced, and she traveled throughout Latin America and the Caribbean promoting her business and recruiting others to teach her hair care methods. Walker donated the largest amount of money by an African American toward the construction of an Indianapolis YMCA.</p><p>In 1913, Madam C.J. Walker, born Sarah Breedlove, created specialized hair products for African-American hair and was one of the first American women to become a self-made millionaire.</p>",306
"<p>Madam C.J. Walker was born Sarah Breedlove to former slaves, Owen and Minerva Breedlove in Delta, Louisiana on December 23, 1867. Breedlove became an orphan at age seven when her parents died.</p>",307
"<p>Madame C.J. Walker joined her there a year later and they married. She began calling herself Madam C. J. Walker because she felt it gave her products more appeal.</p>",308
"<p>The answer should be no. The benefits your children are receiving are for themselves. They're not some sort of inheritance from your husband's estate that the state can lay claim to.</p>",309
"<p>If you are taking care of a child, you should be able to get child support from the other parent. Read about how to get a child support order. [Note: You can click on the question to go directly to the answer to that question, or you can scroll down the page to see all the questions and answers].</p>",310
"<p>Pay your child support on line at ChildSupportBillPay or call 1-866-972-9427 (toll free). Payments can be made with a debit or credit card with a convenience fee of 2.25%.</p>",311
"<p>If your child has a catastrophic or serious medical condition, California Children's Services may be able to provide financial assistance and coordinate health care services.</p>",312
"<p>By contract, Sonoma County also functions as the local EMS Agency for Mendocino County.</p><p>Consistent with that requirement, the Coastal CVEMSA has been designated as the Local Emergency Medical Services Agency (LEMSA) for Sonoma and Mendocino Counties.</p>",313
"<p>The County Medical Services Program (CMSP) provides health coverage for low-income, indigent adults in thirty-five, primarily rural California counties.</p>",314
"<p>Animal Cuts was manufactured by a company known as Universal Nutrition, which has it’s headquarters located in New Jersey. Founded in 1977, the company has been known to produce supplements that are meant to aid bodybuilders and fitness enthusiasts alike.</p>",315
"<p>Animal Cuts is produced and being distributed online by Universal Nutrition, a company that brought you similar sports and fitness products. As aforementioned above, this brand was initially designed for body builders and athletes due to its muscle toning efficacy.</p>",316
"<p>What are Animal Cuts? While some fitness and diet supplements claim to be effective thanks to the inclusion of one or two powerful key weight loss ingredients, others simply try to throw everything against the wall just to see what sticks.</p>",317
"<p>The Cass County Missouri Bar Association serves the lawyers of this county, to promote the administration of justice, to enhance attorney professionalism and to cultivate positive relationships among the members of the Bar.</p>",318
"<p>What Bert Has To Say About Kansas City Metro Area. Kansas City is a large, prosperous, self-sufficient and culturally rich city located astride the Missouri River.</p>",319
"<p>We provide hospice services to the counties of Cass, Bates, Henry, Jackson and Johnson in Missouri. Serenity Care Hospice is proud to be a locally owned company...</p>",320
"<p>Ralph Owen Brewster was born in Dexter, Maine, in 1888. He was graduated from Bowdoin College in 1909 (summa cum laude; Phi Beta Kappa Society).</p>",321
"<p>I just saw the Howard Hughes movie, and I really enjoyed it! The movie makes a lot about Hughe's battles with Juan Trippe (CEO of PANAM Airlines).</p>",322
"<p>State Governor and Senator Ralph Owen Brewster lived here, and had guests staying at what became the Brewster Inn, including MGM film's founder Louis Mayer, and Presidents Truman and Taft.</p>",323
"<p>In March, the Mayo Clinic said it would spend $100 million at its hospital in Jacksonville to better position the medical center as a health care destination for the southeastern U.S.</p>",324
"<p>Mayo Clinic Jacksonville is the admitting hospital for the Mayo Clinic in Jacksonville, Florida. It has 304 beds and 22 operating rooms and offers care in more than 35 medical and surgical specialties.</p>",325
"<p>Thousands of people come to Mayo Clinic Jacksonville annually for diagnosis or treatment of a medical condition. In Florida, Mayo Clinic primarily treats adults, although some specialists see teenagers and children.</p>",326
"<p>Brazil's topography is an intriguing one. As the home of the acclaimed Amazon Rainforest, and additionally the Brazilian Highlands and limitless extends of coastline, this South American nation keeps on awing guests in its common wonder and many-sided quality.</p>",327
"<p>Navigable inland waterways, including lakes, rivers, and reservoirs, are important transportation routes for people and goods in Brazil. Natural and anthropogenic effects coupled with recent severe droughts have led to decreased inland waterway navigation.</p>",328
"<p>Places like the Cerrado of Brazil provide still a different environment: here the land is at 3,000 to 3,500 feet, can be very flat, and is ideal for mass production, including mechanical harvesting.</p>",329
"<p>Lymphoma is one of the most common cancers seen in dogs. Although there are breeds that appear to be at increased risk for this disease, lymphoma can affect any dog of any breed at any age.</p>",330
"<p>Lymphoma is one of the most common cancers in dogs. Often, the canine lymphoma patient comes to the veterinarian because one or more lumps have been found.</p>",331
"<p>Lymphoma is one of the most common malignant tumors to occur in dogs. The cause is genetic, but there are also suspected environmental factors involved, including in one study an increased risk with the use of the herbicide 2,4-D. This risk was not confirmed in another study.</p>",332
"<p>Know your household hot water needs and measure the space available for your new water heater as tank sizes have changed. Avoid the hassle and call us at any time to get a professional water heater installation.</p>",333
"<p>'Tankless water heaters can be further divided into two categories according to their heating capability: ''full on/full off'' versus ''modulated''.</p><p>This is usually done by using a flow sensor, a modulating gas valve, an inlet water temperature sensor, and an outlet water temperature sensor-choke valve.'</p>",334
"<p>ENERGY STAR certified gas storage water heaters are an easy choice for energy savings, performance, and reliability. Read our Gas Water Heater Fact Sheet (PDF, 113 KB) to learn more.</p>",335
"<p>This affordable, business-class netbook offers long battery life, durability, and a first-rate keyboard.</p>",336
"<p>I cannot get ANY help from HP because this item is out of warranty. I want to restore my unit to the factory settings - please give me step by step guide.</p>",337
"<p>The HP Mini-Note 2140 is a netbook produced by Hewlett-Packard. It is an update to the HP 2133 Mini-Note PC which was announced in early January 2009.</p>",338
"<p>'There were many different types of American Indian houses in North America.</p><p>Wigwam is the word for ''house'' in the Abenaki tribe, and wetu is the word for ''house'' in the Wampanoag</p><p>Tipis, Tepees, Teepees The Tipi: Traditional Native American Shelter:'</p>",339
"<p>It was an Indian village, a mission farm, a cattle ranch, the home of Francisco Sanchez (alcalde (Mayor) of San Francisco), a residence of General Kirkpatrick, the Hotel San Pedro, a speakeasy known as Adobe House and an artichoke storage facility.</p>",340
"<p>Santa Fe's historic adobe architecture evolved from early Native American dwellings that impressed the Spanish when they first arrived in the region in the 16th century.</p>",341
"<p>Pacific Northwest National Laboratory (PNNL) operates as a government research laboratory. It conducts fundamental and applied research for the U.S. Department of Energy, government agencies, universities, and industry sponsors focusing on homeland security, energy generation, hydrogen and biomass-based fuels, and environment.</p>",342
"<p>The Rock Flats Facility (RFF) and Battelle, Pacific Northwest Laboratories (PNL) conducted all radiochemical analyses for USTR tissue samples until 1971 when Los Alamos National (formerly Scientific) Laboratory (LANL) was added to the list of “approved” laboratories.</p>",343
"<p>The Office of Science and Engineering Education (SEE) manages fellowship opportunities at Pacific Northwest National Laboratory (PNNL) for college-level students, postdocs, faculty and visiting scientists (from government/industry) who are receiving their salary, stipend, scholarship, or some form of payment from another entity throughout the duration of their fellowship at PNNL.</p>",344
"<p>You can call the number for the California Franchise Tax Board (800) 852-5711 to verify. Do not use the number on the letter, you want to verify its authenticity before sending it in.</p>",345
