AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer,Answer.case
Approved,564,"<p>The people are listening, the revolutionary fighters are listening, and the regular troops - whose fate is in our hands - are listening also. I believe this to be a turning point in our history: the tyranny has been overthrown. The rejoicing is immense. But there is still much to be done. We mustn't fool ourselves into believing that.</p>",149,"The people and revolutionary fighters are listening. The regular troops, whose fate is held in our hands, are also listening. I think this is a pivotal point in our history. A cruel and oppresive government has been vanquished and there is great rejoicing. However, there is still a lot to be done. We should not kid ourselves into thinking that.",149
Approved,336,"<p>'The purpose of this article is to explain what evolution is, to describe some of the overwhelming evidence that supports it, and to explain why one of the proposed alternatives to evolution, ''intelligent design,'' fails to qualify as science. I will also briefly address why evolution has been perceived as a threat to religion and provide some references that challenge this perception.'</p>",113,"I will discuss the concept of evolution and the body of evidence that supports it. ""Intelligent design"" is often brought up as an alternative theory to evolution, and I will describe why this theory lacks scientific evidence.  The counterarguments to evolution often have a religious basis, however, religious beliefs and evolution can co-exist peacefully.",113
Approved,591,<p>Biblically battling against the false notions of evolution.</p>,108,Is using the Bible to refute the unproven theory of evolution convincing?,108
Approved,313,"<p>New USDA Pyramid Emphasis on Whole Grains.  Since obesity has become such a prevalent problem, the USDA has revamped its Food Requirements Pyramid. The orange section is the Grain Group. It suggests that you eat at least 3 ounces of this group daily, with fifty percent of that being whole grains.</p>",58,"Due to obesity being a widespread problem, the Food Requirements Pyramid has been overhauled by the USDA.  The Grain Group is now contained in the orange section.  The pyramid now suggests that the daily requirement is to consume 3 or more ounces of this group, with half of it coming from whole grains.",58
Approved,274,"<p>One Brain,or Two? How many brains do you have - one or two? Actually, this is quite easy to answer:you have only one brain. However, the cerebral hemispheres are divided right down the middle into a right hemisphere and a left hemisphere. Each hemisphere appears to be specialized for some behaviors.</p>",141,"One Brain or maybe Two? Exactly how many brains do you think you have? This is quiet simple to answer: you have one brain but, the cerebral hemispheres are separated straight down the center into a right sided hemisphere and left hemisphere. Each hemisphere seems to be specialized for some certain behaviors.",141
Approved,360,"<p>An Alameda jury has found Jehovah's Witnesses legally responsible for the sexual abuse of a minor. Dramatic news is emerging that the Watch Tower Society has lost its first lawsuit since the Olin Moyle libel case of 1940. For more than 70 years, the Watch Tower Society has prided itself on its clean legal.</p>",167,"A jury in Alameda has ruled that the Jehovah's Witnesses can be held culpable under the law for the sexual victimization of an underage individual. Stunning revelations indicate that the organization's Watch Tower Society has suffered defeat in the first legal action taken against it since 1940's Olin Moyle libel trial. For nearly three-quarters of a century, the Watch Tower Society has proudly boasted a spotless record in regards to criminal offenses.",167
Approved,379,"<p>Connecticut Literacy Standards. Interpret the text by using prior knowledge and experiences; Make inferences about ideas implicit in narrative & expository texts; Gather, select, organize and analyze information from primary and secondary sources; Demonstrate an understanding that literature represents, recreates, and shapes human experience Rationale for Technology Integration.</p>",84,"Connecticut Literacy regulations. process the text by using previous knowledge and experiences; create inferences about thoughts implicit in narrative and make expository words; collect,pick, and categorize and study information from primary as well as secondary sources;Perform an understanding that vocabulary symbolize, recreates, and forms human experience for advance technology Integration.",84
Approved,238,"<p>'Dream Interpretation - Understand Your Hopes and Fears Dreams are defined, loosely, as a ''sequence of sensations, images, thoughts, etc., passing through a sleeping person's mind'' and reveal our hopes and fears. They can reveal a lot about our personality and that's why dream interpretation is considered so important.'</p>",118,We can understand a lot about an individual's personality based on the content of their dreams. By interpreting things such as the images and feelings of a person's dreams we can begin to learn more about their hopes and fears.,118
Approved,408,"<p>One such design was one proposed by McDonnell Douglas in which an enlarged HL-10 lifing body would be used to carry a 11,000kg (25,000lb), 4.6m(15ft) by 9.1m (30ft) payload into an orbit with a maximum altitude of 500km (270nm). Called the Integrated Launch and Reentry Vehicle System (ILRVS), the shuttle and its two man crew would have been launched into orbit using a manned booster stage.</p>",133,"An example of these designs was brought up by McDonnell Douglas where a larger HL-10 rocket would be assigned to carrying a 11,000kg (25,000lb), 4.6m (15ft) by 9.1m (30ft) cargo load into Earth's orbit no higher than 500km (270nm). Dubbed the Integrated Launch and Reentry Vehicle System (ILRVS), the crew of two men and their rocket would be sent into orbit with a non-automated booster stage.",133
Approved,63,<p>Learn how to tie a tie properly. Tie instructions. Lesson tying a tie. best way to tie a tie. How do I tie a tie.</p>,153,"The proper way to tie a tie.
Instructions for tying a tie.
Tie-tying lessons.
Best tie-tying technique.
My technique for tying a tie.",153
Approved,182,"<p>'The Trinitarian must focus on the apostate concept that God openly approves calling Jesus, angels and Moses ''Gods''. The wear the divine title with divine approval.</p><p>Watchtower Henotheism ...  as JWs teach it. God of Gods. True vs false gods. Definite, indefinite article. Divine approval to be called a god? YHWH class of god. Almighty god.'</p>",162,"According to apostate Trinitarian thought, Jesus, angels and Moses are to be granted the title of ""Gods"", with the supreme deity's approval.

This is Watchtower Henotheism, as per Jehovah's Witnesses, the One God versus the Gods.  Some true, some false; definite versus indefinite article.  It takes divine approval to be granted divinity?  Yod He Vav He - style divinity, omnipotence.",162
Approved,122,"<p>I can definitely see Yoko Ono as an Alien, and Fidel Castro as an ET is a hilarious idea! The others I'm not sure, though you never know the kind of tricks the MIB are going to pull! I learned recently that Castro has been spotted spending time with Aliens before!</p>",144,"There are many famous people from the past that I could see being from another planet! Yoko Ono and Fidel Castro are so ridiculous that its completely possible! Now, you can never be sure, as organizations like the MIB are always hiding something, but I'm pretty sure there was a report that Castro was spotted hanging out with aliens!",144
Approved,101,"<p>'Explore Jan Scheffert Wolken's board ''Christmas (Garfield)'' on Pinterest. | See more ideas about Kittens, Christmas tree crafts and Comic books.'</p>",85,"Want more ideas about Cats, Christmas tree crafts or Comic Books? Would you like to Explore Jan Wolken's board ""Christmas(Garfield)"" on Pinterest?",85
Approved,144,"<p>A necktie (usually just called a tie) is a piece of material worn around the neck. The modern necktie's original name was the four-in-hand tie. The modern necktie, along with the ascot and the bowtie, are all descended from the cravat. They are mainly worn by men, though they are sometimes worn by women, either as fashionable dress wear or as part of a uniform.</p>",152,"A tie (sometimes called a necktie) is a strip of fabric that is traditionally worn around the neck.  The variant in vogue now was originally known as the four-in-hand tie.  This modern variant, together with the bowtie and the ascot, trace their history to the cravat.  These accessories are typically worn by men, but sometimes also women, as part of formal dress clothes or standard uniform.",152
Approved,128,"<p>I think the most import things are support, care and responsibility. I like when a man is kind and laughs a lot. I want my man to be successful. I want to be proud of him. I want together to create dreams and make them come true. It's my plan about life, so if you feel a special feeling in your heart, write me immediately.</p>",48,"In my opinion, care, support and responsibility are the crucial factors.  I prefer men who are kind and jovial, successful, someone I can be proud of, someone with whom I can dream of things, and then make these things come true.  This is how I see my future, and if this makes you feel something special, contact me right away.",48
Approved,308,"<p>Again, this is because of how a ketogenic diet works: Because you are always burning fat in ketosis, the entire energy burn of your workout is coming from your fat stores. If you have a carbohydrate rich diet, it takes around twenty minutes of cardio before you even begin to burn fat. On a low carb diet, you're burning it from minute one.</p>",131,"With the ketogenic diet, you're consuming low carb foods so your body constantly burns fat through ""ketosis"".  This happens because you're generating energy by using by your fat reserves.  If you're eating a lot of carbs, it can take about twenty minutes of working out before you start to burn fat.",131
Approved,165,"<p>S. Truman, the 33rd President of the United States, came into the world on 8 May 1884. His parents, John Anderson Truman and Martha Ellen Truman, couldn't decide on a suitable name for their bouncing baby boy, and when the attending doctor finally registered the child's birth with the county clerk a month later, the infant still had no name.</p>",63,"On May 8, 1884, the 33rd President of the United States, S. Truman, came into the world, to parents John Anderson Truman and Martha Ellen Truman. They couldn't choose an acceptable name for their baby who bounced a lot. A month after the child was born, the attending doctor registered the birth with the county clerk and realized he still had no name.",63
Approved,587,"<p>What does it mean to do gamer theory? Wark's book is, if nothing else, a manifesto: less about a particular way of reading games than a “strategy guide” for a critical project. While each chapter develops part of a massive theoretical framework embracing critical theory, history, media theory, and sociology, each chapter is also simultaneously a performance of the very theory Wark is building.</p>",125,"What exactly is the meaning of practicing gamer theory? The book Wark has written is, at the very least, a treatise: not so much outlining a specific method of game analysis, but more about the creation of a ""guide to strategic practice"" applicable to an essential situation. Even as every section of the book adds to an all-encompassing structural theory touching upon hypotheses of gaming criticism, historical perspectives, and sociological viewpoints, every portion of the work concurrently serves to function as a demonstration of the actual theoretical principles being established by the author.",125
Approved,265,"<p>Batteries. Recycling of batteries is encouraged. Many outlets exist though the kind of batteries any business recycles varies. Lead acid batteries can be recycled typically with battery sellers and scrap metal dealers. As lead is a commodity and dependent on the market, compensation may be received in exchange for recycling these kinds of batteries.</p>",158,It's a great idea to turn in used batteries for them to be broken down into their components and used to produce other useful produts. There are various centers which recycle batteries but the sort of batter accepted may be different at each location. Interestingly battery seller and scrap metal dealers may likely accept Lead acid batteries. One may even be compensated in some markets where lead is an an demand resource.,158
Approved,173,<p>I need help. I have about 6 to 7 carpenter bees that hover and fly around my dog's house as well as bore holes. The house has been painted. Is there any kind of natural spray or repellant that I can use that will work on them? I don't want to use chemicals and cause my dog to get sick. Thanks. In fact all of the products we have listed in our CARPENTER BEE CONTROL ARTICLE can be used safely around pets.</p>,97,"If anyone can help me with this, it would be greatly appreciated.  There are half dozen or so carpenter bees buzzing around the doghouse and the boreholes!  The doghouse is painted.  Can anyone suggest some kind of spray or repellent that will work on the bees, but will not harm the dog?

Thank you for your query.  In fact, all our products in the CARPENTER BEE CONTROL ARTICLE section are pet-safe.",97
Approved,599,"<p>Today we learn many things about humanity and the world from the beginning of our lives. We became more intelligent thanks to the transmission of information to the entire world. Everything was totally different in the past, when time passed slowly and everything was complicated and difficult. However people had time to talk and sing together because there was no television.</p>",117,"These days we gain much knowledge about life and ourselves from the very first day we are born. We've become smarter due to the instant communication of data across the entire globe. Previously, the world was a much different place; life was complex and tougher to navigate and time itself seemed to move at a snail's pace. As a result, though, humans had more opportunities to interact with each other -- to converse or even enjoy music -- in the absence of that ever-present distraction, the TV set.",117
Approved,724,"<p>'Hi Can anyone explain the difference between ''Acute normovolemic hemodilution'' (which is a conscience matter for JW's) and ''Hypervolemic hemodilution''10-31-2005, 12:46 AM #2Click here for the Best Questions and Answers regarding Transfusion Alternatives and Patient Blood Management.'</p>",166,"Hello, is there anyone who could impart on me the disparities between ""Acute Normovolemic Hemodilution"" and ""Hypervolemic Hemodilution""? Acute Normovolemic Hemodiluition is a moral issue with Jehovah's Witnesses and any information on thier differences would be greatly appreciated. 

Click here for the highest quality responses to this question.",166
Approved,369,"<p>magine a game where you know enough to make the next move exciting but not enough to know what that move is going to be. That's ''Holes,'' as deep as its title. You and any reasonable (or unreasonable) youth of your acquaintance will be drawn into this one. And it's not a black hole. Spiraling between past and present</p>",88,Are you and your friends ready for the exciting yet unpredicable game of 'Holes'? You'll have sufficient information to make your next more amazing but you just won't know that that move will be? Intrigued? Think you are your friends can resist 'Holes'? Get drawn into the irrestible game of 'Holes'. Much better than the endless vortex of  black hole slipping into the past and back.,88
Approved,201,"<p>'CBS. (CBS News) McDonald's and other fast food chains may have gotten rid of ''pink slime'' from its burgers, but the gooey sounding chemical treatment that removes bacteria from meat is popping up elsewhere: Kids' school lunches. The Daily reported that the U.S. Department of Agriculture (USDA) plans to buy 7 million pounds of ''Lean Beef Trimmings,'' what many dub pink slime, from Beef Products International (BPI) for the nation's school lunch programs. '</p>",171,"CBS News.

While fast food restaurants like McDonalds have removed ""pink slime"" from their recipes, the disinfecting chemical process has made an appearance in school lunches.  According to The Daily, the United States Department of Agriculture has decided to purchase 3.5 thousand tons of ""pink slime"" (officially known as Lean Beef Trimmings) from Beef Products International.  This gooey-sounding material is to be used to feed children through the national school lunch program.",171
Approved,239,"<p>The Golden Age of NASA Infographic shared by Dec 2014 in Science Every US space mission from Mercury to Apollo-Soyuz with astronauts color-coded. We see our planetary system around the Sun, our stellar neighborhood in our galaxy, our galaxy in the local group of galaxies, and our group in the entire universe.</p>",134,"In December of 2014, Science published an infographic called The Golden Age Of NASA. The infographic depicts every mission from Mercury to Apollo. It also shows the Sun, the stellar neighborhood of the Sun, our galaxy, and the local group of galaxies, all inside the universe.",134
Approved,829,"<p>Each year, over 2 billion used batteries are disposed into solid waste facilities in the United States. This constitutes 88% of the mercury and 54% of the cadmium deposited into US solid waste landfills. This represents a potential long-term threat to groundwater and drinking water supplies. Consequently, the system that is used to manage these batteries should promote source reduction, recycling, and proper disposal.</p>",160,"On an annual basis, more than 2 billion spent batteries are discarded at U.S. solid waste plants. This accounts for more than half of the cadmium (54%) and nearly all of the mercury (88%) which ends up in solid waste depositories in the United States. It's a worrisome and short-sighted practice which endangers both groundwater and drinking water resources, a concern which will exist for decades to come. As a result, the safeguards put in place to monitor battery disposal have a duty to encourage fewer discards to begin with, as well as more responsible recycling efforts and safer waste management all around.",160
Approved,361,"<p>This disorder is at the forefront of research in gastrointestinal pathology. It develops in the setting of long-standing reflux esophagitis or GERD, occurring in up to 10-20% of patients with symptomatic disease. The symptoms are similar to patients with GERD. The clinical appearance, as seen by the endoscopist, is replacement of the pale whitish esophageal squamous mucosa with red, velvety mucosa.</p>",81,"This disorder is most likely to develop in patients that have long-lasting reflux esophagitis or GERD. It happens in about ten to twenty percent of these patients and is one of the most-researched disorders at the moment in gastrointestinal pathology. The symptoms can be misinterpreted as GERD. The main symptom can be seen with an endoscope: the pale-whitish mucus of the esophagus is replaced with a red, velvet-like mucus.",81
Approved,181,"<p>Browse the Atkins pyramid; tag pages to find the information you are looking for.</p><p>The Atkins pyramid looks much different than the USDA Food Guide Pyramid. The base of the pyramid consists of protein sources such as eggs, fish, beef, chicken and tofu.</p><p>While the FDA pyramid has oils and fats at the top peak, the Atkins pyramid places whole grain foods in this spot. Whole grain foods should be used very occasionally and dont make up the mainstay of the Atkins diet.</p>",54,"Here, you can explore the Atkins pyramid.  Pages may be tagged to find the relevant information.

Unlike the USDA Food Pyramid, the Atkins pyramid has sources of protein (like eggs, fish, meat and soy products) at the base.

The USDA pyramid places fats at the top.  The Atkins pyramid instead uses this spot for whole grain products.  In the Atkins diet, these foods should only be eaten on rare occasions.",54
Approved,338,"<p>'Since it wasn't required for births to be registered in California until 1905, I will probably not have information for some. If you can fill in a name on any of the ones where I just put ''Male'' or ''Female'', please let me know. And, if you know of someone who was, DEFINITELY, born in Lake County, let me know that also.'</p>",96,"Because only after 1905 California required birth registration, I will likely not have information for some. Please enter a name on the items that I have reported ""Boy"" or ""Girl"" and advise. Also, if you become aware of a person that was ABSOLUTELY born in Lake County, report that too.",96
Approved,145,<p>Dubious claims as defined Dr Stephen Barrett of Quack Watch may be MUCH closer to the truth in regard to AFA microcystin toxicity and potential long term damage to health than previously ever thought possible with the so-called Stem Cell Nutrition Stemenhance AFA supplement.</p>,79,"Per Dr Stephen Barrett's definition on Quack Watch, questionable claims about AFA microcystin toxicity and long-term adverse side effects with the Stem Cell Nutrition Stemenhance AFA Supplement may in fact be much closer to the truth than previously suspected.",79
Approved,152,"<p>Low carb diets n recipes is a south beach diet, atkins diet, and other low carbohydrate diet plans directory of resources for low carbohydrates dieters. Atkins diet low carb foods. wanna know what you can and can't eat on atkins? this is it!</p>",126,Trying a low carb diet such as South Beach diet or Atkins diet?  This reference is perfect and includes all the low carb foods you can and can't eat on Atkins diet.  Other low carbohydrate diet plans are also included in this reference.,126
Approved,376,"<p>As they ministered to the Lord, and fasted, the Holy Ghost said, Separate me Barnabas and Saul for the work whereunto I have called them. Acts 13:2. The Jehovah's Witnesses are one of the most aggressive and fastest growing cults. They have today a worldwide organization that numbers about 3.5 million members.</p>",164,"While they worked in service to God, and refused nourishment, the Holy Ghost remarked, Isolate me Saul and Barnabas for my efforts as I have identified them by name. Acts 12:2. As one of the most aggressively expansive and intensely proactive religious cults, the Jehovah's Witnesses have built a global fellowship with a membership approximating 3.5 million adherents.",164
Approved,245,"<p>A wiki is a page or collection of Web pages designed to enable anyone who accesses it to contribute or modify content, using a simplified markup language. this wiki to provide a place for Olympia teachers to learn more about web tools to improve and enhance teaching, to provide a means for collaboration with the school library media program, and to share examples of technology can integrated into the school curriculum.   </p>",69,"A Wiki is a set of web pages on the Internet, where everyone can edit or contribute content by using a simple HTML-like language.  The purpose of this Wiki is to give Olympia teachers a means to educate themselves about Internet tools, to improve teaching technique, and to provide way to interface with the media program at the school's library.  The technology shared through the Wiki can become a part of the school's curriculum.",69
Approved,161,"<p>The teachings of psychoanalysis are based on an incalculable number of observations and experiences, and only someone who has repeated those observations on himself and on others is in a position to arrive at a judgment of his own upon it.Psychoanalytic Techniques for the Exploration of the Unconscious. Please access our Q & A page here or send us your question to aropa@freudfile.org .</p>",115,"Psychoanalysis has its empirical basis in a great number of experiences and observations.  In order to arrive at a judgement upon psychoanalysis, one must have repeatedly performed these observations upon themselves and others.

Psychoanalytic Techniques for the Exploration of the Unconscious.

Have questions?  Our Q&A page is available here, or you can e-mail us at aropa@freudfile.org",115
Approved,203,"<p>First we should agree that this is not the context predictive, spiritual, that psychoanalysis approaches dreams in. Dream interpretation in psychoanalysis is a tool aiding in the discovery of psychic contents - latent ideas linked with repressed emotions and drives - within the unconscious mind, contents pathologically manifest in neurotic symptoms.</p>",114,Dream interpretation has many levels linked with emotions and drives.  The unconscious mind thoughts are in the brain functions.  Dreams are not able to predict anything.,114
Approved,191,"<p>'Inside the Mind of a Creationist: Thomas and KC's ''Debate'' John Stear. ''Reasoning with a creationist is like trying to teach a pig to sing; it's a waste of time and annoys the pig. You suggested that these evidences may be explained by the creation model, and made no reference to the scientific literature to support your claims.'</p>",110,"""Inside the Mind of a Creationist:  Thomas and KC's 'Debate'.""  By John Stear.

Using reason with creationists is like casting pearls before swine.  It is a complete waste of effort, the only outcome being to annoy and perplex the swine.  The suggestion that the scientific evidence may be explained by some ""creation model"" is preposterous, unsupported by any scientific publications, which of course you did not bother to reference.",110
Approved,168,"<p>Once upon a time, when there seemed to be plenty of money and time, NASA would announce a plan to explore a certain planet of the Solar System and then solicit bids for spacecraft, operations and science investigations. That old way of doing business fostered missions that were very large in scope, carrying many instruments, involving large groups of people, taking many years to get organized and launched, and costing billions of dollars.</p>",137,"In the past, when time and funding was more easily available, NASA would publish plans to explore a Solar System target, and then ask research institutions for bids on mission design.  The missions that resulted from this process were usually quite large, with comprehensive arrays of instruments and extensive research teams.  The missions could cost billions of dollars, and take several years to complete.",137
Approved,423,"<p>Discussion Topic: Discuss how to find the mean and the median of ordinal data, and why neither of these descriptive parameters makes any sense for nominal variables.For example, if your experiment contains nominal variables then the mode is the only meaningful measure of central tendency (you could of course use frequency histograms to represent your data, as discussed in the previous chapter).</p>",179,"Please describe how the mean and the median are found when using ordinal data.  When using nominal variables, why is the mode the only useful measure of central tendency? One can use a histogram (please refer to the previous chapter) as a visual depiction of the frequencies of different categories. Why can't you use the mean or the median when using nominal variables?",179
Approved,332,<p>Tooth abscess: Introduction. A pus-filled structure caused by a tooth infection. An untreated tooth abscess can result in the infection spreading to other areas of the body. Tooth abscesses usually result from poor dental health e.g. toot decay. The condition sometimes results in the tooth being removed.</p>,74,"Quick facts on Tooth Abscess

Definition: An object in or around a tooth, which may be filled with dead cell matter.

Causes: Infection resulting from insuffucient dental care.

Impact: If not corrected other areas of the body may be infected

Solution: Removal of tooth.",74
Approved,179,"<p>How to compute the power of a hypothesis test. Includes problems with solutions. One problem computes power for a mean score; the other, for a proportion.</p>",177,Here are some factors to consider when determining the power of a hypothesis test. Be sure to share problems and their respective solutions. Different mathematical relationships may be determined such as means and proportions.,177
Approved,344,"<p>Mr. DIAZ BALART. As a Cuban, and as a public person, I appreciate the hospitality extended to me by this great brother country of the United States of America. I am happy to respond to the subpoena of this distinguished committee to appear before it. I do so with the same feeling of appreciation as I would if I were invited to come before any other representative body of the, other free countries of America in order to cooperate with my best knowledge towards the understanding of our mutual problems, and for the better defense of the democratic Christian principles that are fundamental in the Americas.</p>",147,Mr. Diaz Balart graciously accepted the subpoena to appear before a special council in the United States of America. The native Cuban and public figure announced that he would be happy to appear before any North American committee to discuss methods for upholding Christian values in North and South America alike.,147
Approved,253,"<p>'According to NPR's food blog, The Salt, the U.S. Department of Agriculture has decided to give school administrators a choice regarding the use of ''pink slime'' in school lunches. For the next school year, administrators can choose to order beef without ''pink slime.'' This alternative plan was created because of what the USDA dubbed, ''customer demand.'''</p>",173,"NPR's food blog which is named the Salt  indicates that the Department of Agriculture has made a determination that it will authorize school administrators the right to use filler commonly known as ""pink slime"" in school lunch ground beef products.  During the next school year, administrators can make the decision to order lunch bee products that do not contain the ""pink slime"".   The determination was made due to what the United States Department of Agriculture termed as ""customer demand""",173
Approved,236,"<p>This essay introduces a series of articles about the difficulties facing dream studies as a field of knowledge. These difficulties emerge at every level of participation with dreaming, from third-person gathering of dream reports to first-person remembered experience. How do we know what we know? What is the spectrum of possibility for human consciousness?</p>",116,"The latest on dream studies is presented in this article.  The article will also present difficulties involved in the discipline of studying dreams, including level of participation.  These difficulties are presented from a first-person experience, as well as from a third-person perspective. This article provides a summary of what is known and discusses the spectrum of human consciousness.",116
Approved,253,<p>Here you'll find ground beef recipes that are simple and fast. Beef-a-roni. 1 pound ground meat 1 can sloppy joe sauce 3/4 cup elbow macaroni. Cook macaroni according to package directions to al dente. Brown ground meat and add sloppy joe sauce. Add cooked macaroni and simmer until heated through and macaroni and simmer until heated through and macaroni is coated.</p>,168,"On this page you'll discover simple and fast ground beef recipes. You'll need Beef-a-roni, one pound of ground meat, one can of sloppy joe sauce, and three quarters of a cup of elbow macaroni. Cook the macaroni according to instructions on the package until al dente. Next, brown the ground meat and combine with the sloppy joe sauce. Turn the heat down to a simmer and add the cooked elbow macaroni. When it is warm through and well-combined, you're all done.",168
Approved,184,"<p>'Growths and Tumours. ''The mouth is a mirror of health or disease, a sentinel or early warning system. a potential source of pathology affecting other systems and organs. less common, but very serious, are oral and pharyngeal (throat) cancers'' - U.S. Surgeon General's Report. This section deals with only some of the more common tumours and growths that can occur in the mouth.'</p>",72,"It is scary how much the mouth can tell us about our health. It can let us know if we are sick, or actually very healthy. Something to focus on regarding the mouth are oral cancers. This is reported from Surgeon General, but only goes into detail about the common diseases and more widely known.",72
Approved,272,"<p>'This eMedTV article explains how Rowasa works, describes the effects of the drug, and covers possible ''off-label'' Rowasa uses. Roxicet. Roxicet is approved for the treatment of moderate to moderately severe pain. This eMedTV page takes an in-depth look at this prescription drug, including information on how it works.'</p>",140,"Here is an article from eMedTV about the drug Rowasa. It explains how it works, what the effects are, and some possible off-label uses. This other eMEdTV article is about Roxicet, a drug for moderate to severe pain. The article covers how the drug works and other details.",140
Approved,212,"<p>The most prevalent form of schizophrenia is paranoid schizophrenia. As discussed in this article from the eMedTV Web site, people with this condition tend to experience severe delusions and auditory hallucinations based on paranoia.</p>",138,"Paranoid schizophrenia is the most common form of schizophrenia. According to eMedTV's online article, sufferers are often severely deluded and imagine they're hearing things.",138
Approved,457,"<p>Creamy beef stroganoff is always a favorite around here. This recipe is made with ground beef, making it a frugal dinner option. You don't need a whole lot of meat since the mushrooms and noodles make up the bulk of the meal. It's one of those meals you can throw together quickly. You can safe even more time by browning your ground beef ahead of time. </p>",169,"Beef stroganoff can still be a hearty meal, even with a small amount ground beef, as mushrooms, cream, and noodles add bulk. This enjoyable and frugal meal can be prepared quickly, but to make the meal even faster, you can brown your ground beef the night before.",169
Approved,337,"<p>DALLAS HOME DESIGN GLOSSARY. Awning. Crank windows, hinged on the top, that open upward. Bargeboard. Trim work at the top of gable end walls below the soffit. Basement (Foundation). A basement has a slab bottom, and it uses steel or engineered wood members for floor framing. These members are stronger and span farther, eliminating the need for a lot of columns.</p>",90,"Terms from the Dallas Home Design Glossary:

An awning has a bargeboard with trim work at the top of the gable end walls below the soffit. An awning also houses crank windows that hinge on the top and open upward.

A basement is a slab bottomed foundation that uses steel or engineered wood members for floor framing that are stronger and span farther, which eliminates the need for extraneous columns.",90
Approved,212,"<p>Palm Beach-based Belisi Fashions, a driving force behind this new fashion movement, combines luxury, innovative style and distinctive creations, setting it a part from the rest of the fashion industry. Fashion-forward designer Peter Belisi of Belisi Fashions is unveiling his new and improved online.</p>",154,"Belisi Fashions, based in Palm Beach, is a major contributor to the new fashion movement, combining luxury and innovative style, leading to distinctive creations that set it apart from the rest of the fashion industry. Peter Belisi, the fasion-forward designer behind Belisi fashions, is now revealing is online collection.",154
Approved,212,"<p>Knowing the Right Treatment for Male Menopause Will Save You From the Threat of Midlife Crisis The accordingly called “Andropause, ” men hormonal change, is directly synonymous to male menopause, which leads to low testosterone level in aging men. It is said to produce depression according to Columbia University</p>",53,"""Andropause,"" or men hormonal change, is synonymous to male menopause. In aging men, this can lead to a low testosterone level. Columbia University claims that it can produce depression. Thus, knowing the right treatment for male menopause can save you from the dangers of a midlife crisis.",53
Approved,76,"<p>We be makin things happen on the keto boards. I'm glad I was here for this!!!!! Unless you faint, puke, or die. Keep walking - Jillian Michaels</p>",128,"We are having some success with the keto boards!  I am very grateful to have been here for this experience.  As Jillian Michaels said, unless you faint, puke or die - you keep walking!",128
Approved,155,"<p>'bees. That is, they don't live in a ''hive'' such as honey bees do. They do, however, tend to accumulate in certain areas. In this area of the Delaware Valley, they are known to attack any unpainted or unfinished wooden items. While the females do have a stinger, they are very docile and are not known to sting people, even when disturbed.'</p>",101,"These kind of bees live differently than honey bees. They don't live in hives, but do tend to live close to other bees of the same kind. In this part of the Delaware Valley they prefer to make their little homes in unpainted or unfinished wood items. Females do have a stinger, but are very unlikely to sting.",101
Approved,236,<p>Wet or flooded (FLA) batteries require periodic topping up with electrolyte. This is the traditional technology for both starter and leisure batteries having been used for decades. Readily available worldwide for various leisure applications. When used in modern environments these batteries will normally only give you 70-80% of their rated capacity.</p>,156,Batteries that are wet or flooded (FLA) require the periodic addition of electrolytes. For decades this has been the traditional technology for starter and leisure batteries. Making them readily available globally for different leisure uses. When using these batteries in modern environments they will traditionally only give you 70-80& of their rated capacity.,156
Approved,240,"<p>Meet hundreds of Philippines women on our tours to Philippines and find your Philippines bride. Philippines Marriage service for men seeking Philippines women for love, dating and marriage. These are not Philippines mail order brides, but real Philippines women looking for true love.</p>",50,"Our tours to the Philippines give you the opportunity to meet hundreds of Filipino women and possibly your future wife. Philippines Marriage service is for men actively seeking companionship, love or even marriage to Filipino women. These are not mail order brides. These are real Filipino women looking for real love.",50
Approved,129,"<p>Current Ebola research includes a study on an experimental vaccine that may prevent the virus. This eMedTV article looks at research now under way to better understand and treat this disease, such as studies of new diagnostic tools. Ebola Scientific Name. As this eMedTV page explains, Ebola's name comes from a river.</p>",139,"There is some current research on an experimental Ebola vaccine.  This article on eMedTV reviews some of this research, and how it may help humanity understand Ebola and improve treatment efficacy.  We review some new studies and diagnostic techniques.

Ebola Scientific Name:

As mentioned elsewhere on this page, this disease is named after a river.",139
Approved,605,"<p>I Went, They Scoped, Now Starbucks is History. lost voice I hope you can read the print on this. It's a hoot! Apparently, the Vacuum Tympan cures the most “desperate causes” of hoarseness and sore throat, massages vocal cords and gives immediate flexibility (to what?). Oh, and after it brings relief, a permanent cure soon follows.</p>",80,"Talk about funny ! The Vacuum Tympan is supposed to cure the worst cases of a lost scratchy voice with throat pain.  The Vacuum Tympan states that it will massage your voice box and give prompt pliability( doubtful ) The manufacturer even claims a everlasting antidote is to follow. I went, they probed me and now Starbucks will be fondly remembered as the good old days.",80
Approved,166,"<p>Evolution is the unifying principle in biology. It explains the overwhelming diversity of life on Earth, as well as the constancy of molecular and morphological attributes observed in diverse assemblages of plants and animals. Charles Darwin's publication of On the Origin of Species by Means of Natural Selection in 1859 marks the beginning of scientific understanding of how evolution has molded the history of life.</p>",112,"One of the unifying principles in biology is evolution, which successfully accounts for the incredible diversity of living organisms, but also common adaptation strategies, both on the molecular and the morphological level.  Our understanding of evolution and its role in the history of life begins with Charles Darwin's seminal work, On The Origin of Species by Means of Natural Selection, first published in 1859.",112
